PSI-missing,とある魔術の禁書目録,A Certain Magical Index
No__Buts!,とある魔術の禁書目録II,A Certain Magical Index II
only__my__railgun,とある科学の超電磁砲,A Certain Scientific Railgun
Chase__the__world,アクセルワールド,Accel World
Go__EXCEED!!,ダイヤのA2,Ace of Diamond 2
疾走れ!ミライ,ダイヤのA_(第52話-第75話),Ace of Diamond_(Episode 52 - Episode 75)
天鏡のアルデラミン,ねじ巻き精霊戦記_天鏡のアルデラミン,Alderamin on the Sky
heavenly__blue,アルドノア・ゼロ,Aldnoah.Zero
1st__Love__Story,ネトゲの嫁は女の子じゃないと思った？,And You Thought There Is Never a Girl Online?
炎のさだめ,装甲騎兵ボトムズ,Armored Trooper VOTOMS
青春サツバツ論(Full__size),暗殺教室,Assassination Classroom
さらば,あたしンち,Atashin'chi
紅蓮の弓矢,進撃の巨人,Attack on Titan
甲賀忍法帖,バジリスク_甲賀忍法帖,Bajirisuku ~Koga Ninpo Cho~
Perfect-area__complete!,バカとテストと召喚獣,Baka and Test: Summon the Beasts
staple__stable,化物語,Bakemonogatari
らしさ,ばらかもん,Barakamon
インフェルノ,ベルセルク,Berserk
TELL__ME__WHY,剣風伝奇_ベルセルク,Berserk 1st series
black__bullet,ブラックブレット,Black Bullet
モノクロのキス,黒執事,Black Butler
CORE__PRIDE,青の祓魔師,Blue Exorcist
YOUTHFUL,ちはやふる,Chihayafuru
Star,ちはやふる2,Chihayafuru 2
COLORS,コードギアス_反逆のルルーシュ,CODE GEASS Lelouch of the Rebellion
O2,コードギアス_反逆のルルーシュR2,CODE GEASS Lelouch of the Rebellion R2
禁断のレジスタンス,クロスアンジュ_天使と竜の輪舞,Cross Ange: Rondo of Angel and Dragon
INNOCENT__SORROW,D_Gray-man,D_Gray-man
裏切りの夕焼け,デュラララ!!,Durarara!!
とまどい→レシピ,未確認で進行形,Engaged to the Unidentified
Re_Re_,僕だけがいない街,Erased (Boku dake ga Inai Machi)
ヒトリゴト,エロマンガ先生,Eromanga Sensei
DAYS,交響詩篇エウレカセブン,Eureka Seven
Shangri-La,蒼穹のファフナー,Fafner in the Azure
薔薇が咲く__薔薇が散る,蒼天の拳,Fist of the Blue Sky
tomorrow,フルメタル・パニック!,Full Metal Panic!
南風,フルメタル・パニック!The_Second_Raid,Full Metal Panic! The Second Raid
それが、愛でしょう,フルメタル・パニック_ふもっふ,Full Metal Panic? Fumoffu
メリッサ,鋼の錬金術師,Fullmetal Alchemist
again,鋼の錬金術師_FULLMETAL_ALCHEMIST,Fullmetal Alchemist: Brotherhood
空想メソロギヰ,未来日記,Future Diary
ガヴリールドロップキック,ガヴリールドロップアウト,Gabriel DropOut
GATE~それは暁のように~,GATE(ゲート)_自衛隊_彼の地にて、斯く戦えり,Gate: Thus the Japanese Self-Defense Force Fought There
Pray,銀魂_1年目,Gin Tama 1st Year
銀色の空,銀魂_2年目,Gin Tama 2nd Year
曇天,銀魂_3年目,Gin Tama 3rd Year
Stairway__Generation,銀魂_4年目,Gin Tama 4th Year
Dream__Riser,ガールズアンドパンツァー,Girls and Tanks
BLAZING,ガンダム　Gのレコンギスタ,Gundam Reconguista in G
イマジネーション,ハイキュー!!1,Haikyu!! 1
アイム・ア・ビリーバー,ハイキュー!!2,Haikyu!! 2
Under__Star__(TV__edition),はじめの一歩,Hajime no Ippo
HEKIREKI,はじめの一歩_NewChallenger,Hajime no Ippo New Challenger
The__LiBERTY,はんだくん,Handa-kun
One__More__Chance!!,ヘヴィーオブジェクト,Heavy Object
ひぐらしのなく頃に,ひぐらしのなく頃に,Higurashi When They Cry
優しさの理由,氷菓,Hyouka
STRAIGHT__JET,ISインフィニット・ストラトス,Infinite Stratos
True__Blue__Traveler,インフィニット・ストラトス2,Infinite Stratos2
Hey__World,ダンジョンに出会いを求めるのは間違っているだろうか,Is It Wrong to Try to Pick Up Girls in a Dungeon?
Follow__Me__Feat.Sound__Around,異世界の聖機師物語,Isekai no Seikishi Monogatari
ようこそジャパリパークへ,けものフレンズ,Kemono Friends
GLORY__DAYS,キングダム_第2シリーズ,Kingdom 2nd Season
Hello!My__World!!,ナイツマジック,Knight's & Magic
渚の女王様,こちら葛飾区亀有公園前派出所,Kochira Katsushika-ku Kameari Koen Mae Hashutsujo
Cagayake!GIRLS,けいおん!,K-On!
fantastic__dreamer,この素晴らしい世界に祝福を,KonoSuba: God's Blessing on this Wonderful World!
果てしなく遠い空に__(from___今日からマ王!_),今日からマ王_第1,Kyo Kara Maoh! 1st series
Skies__Of__Love(「銀河英雄伝説」より),銀河英雄伝説_本伝第1期,Legend of the Galactic Heroes Main OVA Series Season 1
あたしの街、明日の街,図書館戦争,Library War
僕らは今のなかで,ラブライブ!,Love Live!
それは僕たちの奇跡,ラブライブ!2,Love Live! 2
もってけ!セーラーふく,らきすた,Lucky Star
トライアングラー,マクロスF,Macross Frontier
一度だけの恋なら,マクロスΔ,MacrossΔ
何とかなれ,闘牌伝説アカギ,Mahjong Legend Akagi
Into__the__Sky,機動戦士ガンダムユニコーン_RE_0096,Mobile Suit Gundam Unicorn RE_0096
Raise__your__flag,機動戦士ガンダム_鉄血のオルフェンズ,Mobile Suit Gundam: Iron-Blooded Orphans
RAGE__OF__DUST,機動戦士ガンダム_鉄血のオルフェンズ(第26話～),Mobile Suit Gundam: Iron-Blooded Orphans (Episode 26 -)
君じゃなきゃダメみたい,月刊少女野崎くん,Monthly Girls' Nozaki-kun
はなまるぴっぴはよいこだけ,おそ松さん,Mr. Osomatsu
未来形Answer,俺物語!,My Love Story!!
一斉の声,夏目友人帳,Natsume's Book of Friends
あの日タイムマシン,夏目友人帳2,Natsume's Book of Friends 2
僕にできること,夏目友人帳3,Natsume's Book of Friends 3
今、このとき。,夏目友人帳4,Natsume's Book of Friends 4
SAKURAスキップ,NEW_GAME!,NEW_GAME!
STEP__by__STEP__UP↑↑↑↑,NEW_GAME!!,NEW_GAME!!
ヒャダインのカカカタ☆カタオモイ-C,日常,Nichijou
二言目,偽物語,Nisemonogatari
This__game,ノーゲーム・ノーライフ,No Game No Life
Clattanoia,オーバーロード,Overlord
Let__Me__Hear,寄生獣_セイの格率,Parasyte
abnormalize,PSYCHO-PASS_サイコパス,PSYCHO-PASS
Redo,Re_ゼロから始める異世界生活,Re:Zero -Starting Life in Another World
そばかす,るろうに剣心_明治剣客浪漫譚,Rurouni Kenshin: Meiji Swordsman Romantic Story
君色シグナル,冴えない彼女の育てかた,Saekano: How to Raise a Boring Girlfriend
Glossy_MMM,咲,Saki
大和撫子エデュケイション,生徒会役員共,Seitokai Yakuindomo
花咲く☆最強レジェンドDays,生徒会役員共＊,Seitokai Yakuindomo＊
ボクにインビテーション,しろくまカフェ,Shirokuma Cafe
君が好きだと叫びたい,スラムダンク,Slam Dunk
Feel__So__Moon,宇宙兄弟,Space Brothers
Hacking__to__the__Gate,STEINS;GATE,STEINS;GATE
STRIKE__WITCHES__~わたしにできること~,ストライクウィッチーズ,Strike Witches
STRIKE__WITCHES__2__~笑顔の魔法~,ストライクウィッチーズ2,Strike Witches 2
晴レ晴レファンファーレ,甘々と稲妻,Sweetness and Lightning
crossing__field,ソードアート・オンライン,Sword Art Online
IGNITE,ソードアート・オンラインII,Sword Art Online II
Link,織田信奈の野望,The Ambition of Oda Nobuna
純粋なフジュンブツ,マンガ家さんとアシスタントさんと,The Comic Artist and His Assistants
ZERO!!,はたらく魔王さま!,The Devil Is a Part-Timer!
フレ降レミライ,長門有希ちゃんの消失,The Disappearance of Nagato Yuki-chan
冒険でしょでしょ_,涼宮ハルヒの憂鬱,The Melancholy of Haruhi Suzumiya
君が夢を連れてきた,さくら荘のペットな彼女,The Pet Girl of Sakurasou
Jingo__Jungle__(Saga__of__Tanya__the__E,幼女戦記,The Saga of Tanya the Evil
はじまりの風,彩雲国物語,The Story of Saiunkoku
十二幻夢曲~孤月蒼夜,十二国記,The Twelve Kingdoms
プレパレード,とらドラ,Toradora!
Seven__Doors,トリニティセブン,Trinity Seven
OVERLAPPERS,異能バトルは日常系のなかで,When Supernatural Battles Became Commonplace
ゲラゲラポーのうた,妖怪ウォッチ,Yo-kai Watch
光るなら,四月は君の嘘,Your Lie in April
リクライム,弱虫ペダル,Yowamushi Pedal 
Determination,弱虫ペダル_GRANDROAD,Yowamushi Pedal GRANDROAD
History__Maker,ユーリ!!!onICE,Yuri on Ice
ゆりゆららららゆるゆり大事件,ゆるゆり,YuruYuri
